AREA FUNGSI KUNCI,KODE OKUPASI,OKUPASI,LEVEL
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0301,STAF AUDIT TI (IT AUDIT STAFF),3
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0401,ASISTEN PENJAMIN KUALITAS (QA ASSISTANT),4
"TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE)
",TIK.ITG0402,ASISTEN SISTEM INFORMASI (INFORMATION SYSTEM ASSISTANT),4
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0501,PERENCANA KAPASITAS MUDA (ASSOCIATE CAPACITY PLANNER),5
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0502,ARSITEK PERUSAHAAN MUDA (ASSOCIATE ENTERPRENEUR ARCHITECT),5
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0503,Konsultan TI Muda (Associate IT Consultantanta0,5
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0504,ASISTEN AUDIT IT (IT AUDIT ASSISTANT),5
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0505,Penguji Penjaminan Kualitas Perangkat Lunak Muda (Associate Software QA Tester),5
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0601,Ahli Metode Scrum (Scrum Master),6
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0602,PEMILIK PRODUK (PRODUCT OWNER),6
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0603,ARSITEK PERUSAHAAN (ENTERPRISE ARCHITECT),6
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0604,ARSITEK TEKNOLOGI (TECHNOLOGY ARCHITECT),6
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0605,KONSULTAN IT (IT CONSULTANT),6
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0606,Auditor TI (IT Auditor),6
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0607,SUPERVISOR AUDIT IT (IT AUDIT SUPERVISOR),6
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0709,MANAJER PENJAMINAN KUALITAS (QUALITY ASSURANCE MANAGER),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0708,PENJAMIN KUALITAS TI (IT QUALITY ASSURANCE),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0707,MANAJER AUDIT TI (IT AUDIT MANAGER),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0706,MANAJER KONSULTAN TI (IT CONSULTANT MANAGER),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0705,PERENCANA TRANSFORMASI DIGITAL 4.0 (DIGITAL TRANSFORMATION PLANNER 4.0),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0704,MANAJER ARSITEKTUR PERUSAHAAN (ENTERPRISE ARCHITECTURE MANAGER),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0703,MANAJER PROYEK TIK (ICT PROJECT MANAGER),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0702,MANAJER PEMULIHAN BENCANA DAN KELANGSUNGAN BISNIS (DISASTER RECOVERY AND BUSINESS CONTUINITY MANAGER),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0701,MANAJER PEMULIHAN BENCANA (DISASTER RECOVERY MANAGER),7
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0807,KEPALA MANAJEMEN SISTEM (LEAD SYSTEMS MANAGEMENT),8
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0806,LEAD IT CONSULTANT (KEPALA KONSULTAN TI),8
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0805,Specialist IT Advisor (Spesialis Penasihat TI),8
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0804,Lead IT Project Portofolio (Kepala Portofolio Proyek TI),8
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0803,Lead Program Management (Kepala Manajemen Program),8
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0802,Lead IT Advisor (Kepala Penasihat TI),8
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0801,Lead Enterprise Architecture (Kepala Arsitektur Perusahaan),8
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER),9
TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE),TIK.ITG0902,CHIEF INFORMATION OFFICER (PEMIMPIN INFORMASI),9
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0202,STAF PUSTAKAWAN MULTIMEDIA (MULTIMEDIA LIBRARIAN STAFF),2
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0201,STAF PEMROGRAM (PROGRAMMER STAFF),2
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0305,MANAJEMEN INFORMASI JUNIOR (JUNIOR INFORMATION MANAGEMENT),3
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0304,JUNIOR TECHNICAL SUPPORT,3
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0303,JUNIOR BACK-END PROGRAMMER,3
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0302,PEMROGRAM FRONT-END JUNIOR (JUNIOR FRONT-END PROGRAMMER),3
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0301,MOBILE COMPUTING JUNIOR (JUNIOR MOBILE COMPUTING),3
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0409,ASISTEN TIM ERP (ERP TEAM ASSISTANT),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0408,ASISTEN PELAKSANA ERP (ASSISTANT ERP IMPLEMENTOR),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0407,ASISTEN PENDUKUNG TEKNIK (TECHNICAL SUPPORT ASSISTANT),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0406,ASISTEN PEMROGRAM BACK-END (ASSISTANT BACK-END PROGRAMMER),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0405,ASISTEN PEMROGRAM FRONT-END (ASSISTANT FRONT-END PROGRAMMER),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0404,ASISTEN MANAJEMEN INFORMASI (INFORMATION MANAGEMENT ASSISTANT),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0403,ASISTEN MOBILE COMPUTING (MOBILE COMPUTING ASSISTANT),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0402,ASISTEN PENGUJI PERANGKAT LUNAK (ASSISTANT SOFTWARE TESTER),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0401,ASISTEN PENGEMBANG WEB (ASSISTANT WEB DEVELOPER),4
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0516,ARSITEK ERP MUDA (ASSOCIATE ERP ARCHITECT),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0515,ANALIS DATA MASTER ERP MUDA (ASSOCIATE ERP MASTER DATA ANALYST),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0514,ANALIS PENGAMBILAN KEPUTUSAN ERP MUDA (ASSOCIATE ERP DECISION SUPPORT ANALYST),5
